pokemon_name	number_of_nodes_in_the_local_comunity	conductance_value_of_the_local_comunity
Politoed	105	0.34619002822201317
Polteageist	107	0.34560906515580736
Porygon-Z	104	0.3948235294117647
Porygon2	126	0.367826904985889
Primarina	93	0.3541666666666667
Quagsire	140	0.4099290780141844
Raichu	93	0.3422818791946309
Raichu-Alola	5	0.4117647058823529
Raikou	110	0.36152019002375296
Rapidash-Galar	138	0.4359980382540461
Rayquaza	128	0.4009433962264151
Regice	93	0.37423312883435583
Regidrago	95	0.3632075471698113
Regieleki	114	0.3705103969754253
Regigigas	107	0.3967058823529412
Regirock	93	0.33553875236294894
Registeel	103	0.36393752957879794
Reshiram	128	0.4027319830428639
Reuniclus	140	0.41291585127201563
Rhydon	118	0.4068835454974069
Rhyperior	113	0.36812411847672777
Ribombee	140	0.4418136020151133
Rillaboom	99	0.33427628477133425
Riolu	134	0.3983969825553984
Roserade	112	0.40825035561877665
Rotom-Heat	87	0.325187969924812
Rotom-Mow	124	0.381288199341796
Rotom-Wash	96	0.34183423246689554
Runerigus	140	0.39895882631329865
Sableye	102	0.3954802259887006
Salamence	90	0.3311289560699103
Salazzle	130	0.3710513908533711
Sandaconda	139	0.39554713405968733
Sceptile	139	0.4117647058823529
Scizor	125	0.3919172932330827
Scrafty	139	0.3905660377358491
Seaking	124	0.3788235294117647
Seismitoad	137	0.39290780141843973
Shedinja	140	0.42686170212765956
Shuckle	140	0.4018161180476731
Sirfetch'd	128	0.39576470588235296
Slowbro	140	0.4037735849056604
Slowking-Galar	140	0.4250926416093171
Slurpuff	96	0.3825187969924812
Sneasel	128	0.3634226610249177
Snorlax	105	0.367826904985889
Solgaleo	98	0.3668582375478927
Spectrier	119	0.3635077793493635
Spiritomb	112	0.37376586741889983
Stakataka	101	0.3618823529411765
Stonjourner	116	0.380321665089877
Suicune	107	0.34560906515580736
Swampert	125	0.40339302544769085
Sylveon	121	0.40586565752128667
Talonflame	101	0.35165876777251187
Tangrowth	140	0.45977011494252873
Tapu Bulu	131	0.39981185324553153
Tapu Fini	118	0.3543529411764706
Tapu Koko	91	0.32452830188679244
Tapu Lele	94	0.3559962228517469
Tauros	138	0.4091552619159981
Terrakion	124	0.36312323612417685
Thievul	140	0.38070588235294117
Thundurus	97	0.35152941176470587
Thundurus-Therian	140	0.38070588235294117
Togedemaru	114	0.38598965679360603
Togekiss	102	0.3745866792631082
Togetic	139	0.42736248236953456
Torkoal	102	0.36466165413533835
Tornadus	125	0.3766478342749529
Tornadus-Therian	140	0.4214876033057851
Torracat	119	0.39285714285714285
Toxapex	140	0.4253731343283582
Toxtricity	140	0.3883029721955896
Trapinch	130	0.41110065851364064
Trevenant	139	0.41153659718856034
Tsareena	116	0.37940761636107195
Turtonator	105	0.401789919924635
Tyranitar	86	0.3251764705882353
Umbreon	119	0.4020715630885122
Urshifu	109	0.35183443085606775
